name,is_gadget
Album dự báo tương lai,1
Ban nhạc cảm xúc thăng hoa,1
Bom tạo không gian,1
Bánh mì chuyển ngữ,1
Bánh mì giúp trí nhớ,1
Bánh quy biến hình,1
Bánh thuần chủng,1
Bìa sách con người,1
"Bình ""tạo mây mưa""",1
Bình phun cố định vị trí,1
Bình phản ứng,1
Bình xịt dọn dẹp,1
Bóng bay kỳ diệu,1
Bóng đèn chiếu tối,1
Bùa xua đuổi,1
Búa tạo bộ mô hình lắp ghép,1
Búa đãng trí,1
Búp bê chuyên gia quật ngã,1
Bút vẽ mặt ảnh,1
Bật lửa đạo diễn,1
Bồn tắm di động 1010,1
"Bộ ""Vỏ ốc truyền cảm giác""",1
Bộ dụng cụ thiết bị bảo vệ phòng,1
Bộ thức uống Soda đa dạng,1
Bộ trò chơi tàu lửa Sugoroku,1
Bộ đồ làm bánh Mochi,1
Bộ đồ nghề thám tử Sherlock Holmes,1
Bộ đồ nghề tướng số,1
Bộ đồ ăn chực,1
Camera tạo hình thú nhồi bông,1
Chim đãng trí,1
Chiếc mũ 1 tấc,1
Chiếc nhẫn siêu việt,1
Chiếc vòng kim cô,1
Chong Chóng Búp Măng,1
Chong chóng tre,1
Chó xua đuổi,1
Chữ Y thuyết phục,1
Cà rốt mơ hồ,1
Cào cào liến thoắng,1
Cánh bướm bay lượn,1
Cánh cửa thần kì,1
Cánh cửa vinh quang,1
Cây gậy hô biến thành động vật,1
Cây gậy hù dọa,1
Cây gậy Moses,1
Cây gậy đảo ngược,1
Cây hoàn thành nhiệm vụ,1
Cây thiên vị,1
Công tơ mét đo chỉ số thần mưa - thần nắng,1
Công tắc độc tài,1
Căn nhà bẫy trộm,1
Cỏ lãng quên,1
Cổng thời gian,1
Cỗ máy thời gian,1
Cửa hàng 10 yên và Phiếu biển hiệu,1
Dao chia đôi,1
Dầu vào thế giới đảo ngược,1
Dụng cụ tim đồ đã mất,1
Giày đi vào thế giới cổ tích,1
Giấy in và Mực đóng dấu chân dung người,1
Giấy photocopy lập thể,1
Giếng tiều phu,1
Găng tay chuột chũi,1
Gương nhân đôi,1
Gậy chuyển giao nhược điểm,1
Gậy hút ảnh,1
Gậy xoa dịu,1
Huy hiệu thành viên câu lạc bộ dị thuyết,1
Huy hiệu triệu hồi ác ma,1
Huy hiệu tình yêu,1
Hơi ga trượt băng,1
Hạt dẻ thần giao cách cảm,1
Hạt dẻ tiết kiệm tiền,1
Hạt đậu xua đuổi trừ tà ma,1
Hố thời gian,1
Hồ câu di động,1
Hộ chiếu quỷ Satan,1
Hộp gia đình,1
Hộp kem người sói,1
Hộp mô hình chăn nuôi,1
Keo I.F,1
Keo sửa chữa,1
Khinh khí cầu nhỏ Mini,1
"Khăn ""Ngáo ộp""",1
Khăn choàng phản hồi,1
Khăn trùm thời gian,1
Khăn trùm tặng phẩm,1
Khăn trải bàn thịnh soạn,1
Kim cương bất hạnh,1
Kiếm điện quang,1
"Kèn""xua đuổi,mất tăm,mất tích""",1
Kéo cắt bóng,1
Kéo nước,1
Kẹo Urashima,1
Kẹo âm thanh bảy màu,1
Kẹo đẩy âm thanh,1
Lỗ đen Mini,1
Micro gây cảm động,1
Micro tạo động lực,1
Máy chế tạo mây điểm tâm,1
Máy chỉ dẫn,1
Máy cầu xin có điều kiện,1
Máy dò thám tuyệt mật,1
Máy kiểm tra giấc mơ,1
Máy kết hợp cải tạo giống,1
Máy nhắc nhở công ơn,1
Máy nói dối,1
Máy sáng chế,1
Máy sản xuất con người,1
